"id","name"
"13752","26"
"13763","20"
"13771","31"
"13785","11"
"13807","15"
"13832","39"
"13934","48"
"14091","32"
"14094","64"
"14097","22"
"14151","36"
"14169","30"
"14211","44"
"14292","38"
"14377","24"
"14384","28"
"14420","Flexspace"
"14423","Alveo Capital"
"14424","Constructora Mendoza"
"14425","Ajava"
"14426","EBN 18"
"14427","RSJ"
"14439","360"
"14513","IHLSA"
"14520","Pecari"
"14521","Areya"
"14522","Signa"
"14523","Latitud"
"14525","Hermosillo"
"14526","Grumesa"
"14528","Grupo Cadena"
"14533","GNS"
"15082","42"
"15092","62"
"15239","67"
"15252","46"
"15256","35"
"15294","Apo Cosntructora"
"15295","Trebotti"
"15308","MOI"
"15408","Logistik II"
"15425","Conekta"
"17249","0.23"
"17325","6.9"
"17422","0.66"
"17429","8.37"
"17671","0.64"
"17900","0.91"
"18015","0.69"
"18031","0.62"
"18152","0.83"
"18235","0.68"
"18520","27"
"18654","34"
"18787","17"
"18827","102"
"18875","Arende"
"18876","GDS"
"18878","MK Construcciones"
"18879","GRCC"
"18880","DCR"
"18885",
"18893","Conisa"
"18897","MMEXC"
"18908","Tordec"
"18913","SIRSA"
"18918","ICH"
"18925","De Coss"
"18928","Are Desarrollos"
"18932","Imobilem"
